Event Label,Event Category,Avg. Value Total,Avg. Value LEVEL2
1290dfbcf881dde0,FIRSTLINE,4.00,4.00
afab39f0afa47f27,FIRSTLINE,4.00,4.00
1b05c07a7e663e08,FIRSTLINE,3.00,3.00
2349496fc87d340d,FIRSTLINE,3.00,3.00
2e035e79444f5880,FIRSTLINE,3.00,3.00
3a843e83d9cd7f82,FIRSTLINE,3.00,3.00
6d0113052c269298,FIRSTLINE,3.00,3.00
711c0f4aec9e3ecf,FIRSTLINE,3.00,3.00
d3188e446fbbb98f,FIRSTLINE,3.00,3.00
1c001316fa0b1d83,FIRSTLINE,2.00,2.00
271db9de004cf78b,FIRSTLINE,2.00,2.00
2fc404defe463dcc,FIRSTLINE,2.00,2.00
55c2d8814433880a,FIRSTLINE,2.00,2.00
5fdb156d5fc8b9dd,FIRSTLINE,2.00,2.00
65718f7ffff8f3e5,FIRSTLINE,2.00,2.00
854a92467d63a041,FIRSTLINE,2.00,2.00
9005c0bff7f591eb,FIRSTLINE,2.00,2.00
91defa2d2ce8519c,FIRSTLINE,2.00,2.00
9ab0f8005ae72db9,FIRSTLINE,2.00,2.00
a2422e4949a4ba78,FIRSTLINE,2.00,2.00
b7a40cd5e214004e,FIRSTLINE,2.00,2.00
dc611882fa376ba,FIRSTLINE,1.50,1.50
fd71bcea33752,FIRSTLINE,1.50,1.50
6873cf30fc65b643,FIRSTLINE,1.20,1.20
17ba3e47a36d1103,FIRSTLINE,1.00,1.00
1e97cc6bec0c644c,FIRSTLINE,1.00,1.00
2010338882270091,FIRSTLINE,1.00,1.00
2bbd1d974be8d749,FIRSTLINE,1.00,1.00
342022859e496129,FIRSTLINE,1.00,1.00
48e9da36e7514aaa,FIRSTLINE,1.00,1.00
5f42b1925c3dad38,FIRSTLINE,1.00,1.00
66e414e2c47a1008,FIRSTLINE,1.00,1.00
6d50623ac585894e,FIRSTLINE,1.00,1.00
7f2830a763832638,FIRSTLINE,1.00,1.00
8d5f94aa50520880,FIRSTLINE,1.00,1.00
d4569452c610e06f,FIRSTLINE,1.00,1.00
f0c40c4a883680ff,FIRSTLINE,1.00,1.00
139fef5398e13dbe,FIRSTLINE,0.75,0.75
6aec268ed57e7c15,FIRSTLINE,0.75,0.75
ce026beb461e866d,FIRSTLINE,0.67,0.67
54adf48cc5d1a55b,FIRSTLINE,0.50,0.50
615ed898ec41b631,FIRSTLINE,0.50,0.50
a31b458cc9ae6e75,FIRSTLINE,0.50,0.50


