Event Action,Event Label,Total Events,Unique Events,Event Value,Avg. Value
LEVEL1,1aee3d633a4ab893,1,1,5,5.00
LEVEL1,2ca60efb961275ed,1,1,4,4.00
LEVEL1,33cff27a7ee1f85d,1,1,5,5.00
LEVEL1,3a843e83d9cd7f82,1,1,3,3.00
LEVEL1,47c7ca8745e28469,1,1,5,5.00
LEVEL1,5b23fbc2c11487ac,1,1,5,5.00
LEVEL1,615ed898ec41b631,1,1,5,5.00
LEVEL1,7629e68a79a0113d,1,1,3,3.00
LEVEL1,7a2877b4f016432f,1,1,1,1.00
LEVEL1,7f5b249fcb41f77b,1,1,5,5.00
LEVEL1,8d5f94aa50520880,1,1,3,3.00
LEVEL1,9005c0bff7f591eb,1,1,5,5.00
LEVEL1,9221b7b0320a98af,1,1,5,5.00
LEVEL1,98eadc21d43e6fa3,1,1,5,5.00
LEVEL1,993602061aca0328,1,1,4,4.00
LEVEL1,a7ed701596ef68cb,1,1,3,3.00
LEVEL1,c888371da25497c9,1,1,4,4.00
LEVEL1,dcfd8ce1c43dd0f0,1,1,1,1.00
LEVEL1,eac5443f079d5409,1,1,2,2.00
LEVEL1,f2785d459a8ab75a,1,1,5,5.00
LEVEL1,f3119c62dd3cbc01,1,1,4,4.00
LEVEL1,faa65e826d857707,1,1,1,1.00
LEVEL1,fd71bcea33752,1,1,5,5.00
LEVEL10,1aee3d633a4ab893,1,1,4,4.00
LEVEL10,3a843e83d9cd7f82,1,1,4,4.00
LEVEL10,47c7ca8745e28469,1,1,5,5.00
LEVEL10,65718f7ffff8f3e5,1,1,5,5.00
LEVEL10,9221b7b0320a98af,1,1,5,5.00
LEVEL10,98eadc21d43e6fa3,1,1,5,5.00
LEVEL10,d4569452c610e06f,1,1,4,4.00
LEVEL10,dcfd8ce1c43dd0f0,1,1,1,1.00
LEVEL10,eac5443f079d5409,1,1,1,1.00
LEVEL10,f2785d459a8ab75a,1,1,5,5.00
LEVEL10,f3119c62dd3cbc01,1,1,4,4.00
LEVEL10,faa65e826d857707,1,1,1,1.00
LEVEL11,1aee3d633a4ab893,1,1,3,3.00
LEVEL11,3a843e83d9cd7f82,1,1,4,4.00
LEVEL11,47c7ca8745e28469,1,1,5,5.00
LEVEL11,65718f7ffff8f3e5,1,1,5,5.00
LEVEL11,7f5b249fcb41f77b,1,1,5,5.00
LEVEL11,9221b7b0320a98af,1,1,5,5.00
LEVEL11,98eadc21d43e6fa3,1,1,5,5.00
