Event Label,Event Action,Event Value Total,Unique Events Total,Event Value WON,Unique Events WON,Event Value GAMEOVER,Unique Events GAMEOVER
98eadc21d43e6fa3,LEVEL18,479,5,0,0,479,5
a31b458cc9ae6e75,LEVEL3,401,6,199,3,202,3
47c7ca8745e28469,LEVEL15,355,2,27,1,328,1
65718f7ffff8f3e5,LEVEL19,275,2,28,1,247,1
47c7ca8745e28469,LEVEL12,255,2,43,1,212,1
7f5b249fcb41f77b,LEVEL16,222,1,0,0,222,1
98eadc21d43e6fa3,LEVEL3,222,2,83,1,139,1
9221b7b0320a98af,LEVEL20,188,3,33,1,155,2
a31b458cc9ae6e75,LEVEL4,187,3,139,2,48,1
2ca60efb961275ed,LEVEL3,179,2,81,1,98,1
6d0113052c269298,LEVEL3,176,3,154,2,22,1
9221b7b0320a98af,LEVEL5,172,4,34,1,138,3
1aee3d633a4ab893,LEVEL18,169,3,24,1,145,2
dcfd8ce1c43dd0f0,LEVEL2,155,3,33,1,122,2
1aee3d633a4ab893,LEVEL19,154,3,24,1,130,2
47c7ca8745e28469,LEVEL8,152,2,40,1,112,1
6d0113052c269298,LEVEL7,152,5,74,2,78,3
33cff27a7ee1f85d,LEVEL3,142,2,86,1,56,1
a31b458cc9ae6e75,LEVEL2,142,4,97,3,45,1
65718f7ffff8f3e5,LEVEL3,140,2,140,2,0,0
6d0113052c269298,LEVEL9,139,1,0,0,139,1
faa65e826d857707,LEVEL18,139,1,0,0,139,1
a31b458cc9ae6e75,LEVEL1,138,3,138,3,0,0
3a843e83d9cd7f82,LEVEL14,136,2,30,1,106,1
9221b7b0320a98af,LEVEL18,135,3,24,1,111,2
65718f7ffff8f3e5,LEVEL17,133,2,25,1,108,1
6d0113052c269298,LEVEL8,132,3,45,1,87,2
c888371da25497c9,LEVEL2,131,2,33,1,98,1
47c7ca8745e28469,LEVEL11,127,2,29,1,98,1
6d0113052c269298,LEVEL1,124,4,124,4,0,0
9221b7b0320a98af,LEVEL12,121,2,38,1,83,1
