Event Label,Event Action,Event Value Total,Unique Events,Event Value WON,Unique Events
1b05c07a7e663e08,LEVEL1,51,1,51,1
6aec268ed57e7c15,LEVEL1,48,1,48,1
17ba3e47a36d1103,LEVEL1,47,1,47,1
66e414e2c47a1008,LEVEL1,42,1,42,1
a2422e4949a4ba78,LEVEL1,42,1,42,1
3a843e83d9cd7f82,LEVEL1,39,1,39,1
8d5f94aa50520880,LEVEL1,39,1,39,1
afab39f0afa47f27,LEVEL1,39,1,39,1
271db9de004cf78b,LEVEL1,35,1,35,1
5f42b1925c3dad38,LEVEL1,33,1,33,1
a31b458cc9ae6e75,LEVEL1,33,1,33,1
b7a40cd5e214004e,LEVEL1,30,1,30,1
d4569452c610e06f,LEVEL1,30,1,30,1
dc611882fa376ba,LEVEL1,30,1,30,1
d3188e446fbbb98f,LEVEL1,29,1,29,1
f0c40c4a883680ff,LEVEL1,29,1,29,1
2e035e79444f5880,LEVEL1,28,1,28,1
615ed898ec41b631,LEVEL1,28,1,28,1
6873cf30fc65b643,LEVEL1,28,1,28,1
711c0f4aec9e3ecf,LEVEL1,28,1,28,1
fd71bcea33752,LEVEL1,28,1,28,1
139fef5398e13dbe,LEVEL1,27,1,27,1
1c001316fa0b1d83,LEVEL1,27,1,27,1
2349496fc87d340d,LEVEL1,27,1,27,1
2bbd1d974be8d749,LEVEL1,27,1,27,1
9005c0bff7f591eb,LEVEL1,27,1,27,1
2010338882270091,LEVEL1,26,1,26,1
91defa2d2ce8519c,LEVEL1,26,1,26,1
55c2d8814433880a,LEVEL1,20,1,20,1
854a92467d63a041,LEVEL1,20,1,20,1
48e9da36e7514aaa,LEVEL1,13,1,13,1


