Event Label,Event Action,Event Value Total,Unique Events Total,Event Value GAMEOVER,Unique Events GAMEOVER,Event Value WON,Unique Events WON
17ba3e47a36d1103,LEVEL14,212,11,209,8,3,3
2e035e79444f5880,LEVEL14,136,7,84,3,52,4
a2422e4949a4ba78,LEVEL4,126,2,64,1,62,1
615ed898ec41b631,LEVEL6,105,4,71,3,34,1
6d0113052c269298,LEVEL8,104,2,104,2,0,0
b7a40cd5e214004e,LEVEL8,102,2,0,0,102,2
b7a40cd5e214004e,LEVEL14,97,4,96,3,1,1
b7a40cd5e214004e,LEVEL7,95,2,0,0,95,2
d4569452c610e06f,LEVEL14,89,5,87,3,2,2
615ed898ec41b631,LEVEL10,86,5,86,5,0,0
3a843e83d9cd7f82,LEVEL14,83,3,30,1,53,2
b7a40cd5e214004e,LEVEL6,81,3,36,1,45,2
6d0113052c269298,LEVEL4,76,3,75,2,1,1
b7a40cd5e214004e,LEVEL10,72,3,37,2,35,1
b7a40cd5e214004e,LEVEL11,70,2,36,1,34,1
1ee7584f2a519a1d,LEVEL1,69,1,69,1,0,0
6aec268ed57e7c15,LEVEL4,67,1,0,0,67,1
9ab0f8005ae72db9,LEVEL4,66,2,65,1,1,1
2349496fc87d340d,LEVEL6,64,3,63,2,1,1
6873cf30fc65b643,LEVEL2,63,2,18,1,45,1
7f2830a763832638,LEVEL3,63,3,40,2,23,1
139fef5398e13dbe,LEVEL4,62,3,61,2,1,1
3a843e83d9cd7f82,LEVEL9,62,3,61,2,1,1
9005c0bff7f591eb,LEVEL6,62,3,61,2,1,1
a31b458cc9ae6e75,LEVEL10,62,3,61,2,1,1
5fdb156d5fc8b9dd,LEVEL4,61,2,60,1,1,1
1290dfbcf881dde0,LEVEL4,60,2,59,1,1,1
2e035e79444f5880,LEVEL4,60,2,59,1,1,1
a2422e4949a4ba78,LEVEL8,60,1,0,0,60,1
b7a40cd5e214004e,LEVEL9,60,4,58,2,2,2
b7a40cd5e214004e,LEVEL4,59,1,0,0,59,1
65718f7ffff8f3e5,LEVEL4,58,1,0,0,58,1
8d5f94aa50520880,LEVEL9,58,3,57,2,1,1
d4569452c610e06f,LEVEL4,58,1,0,0,58,1
8d5f94aa50520880,LEVEL4,57,1,0,0,57,1
a31b458cc9ae6e75,LEVEL9,57,3,56,2,1,1
2010338882270091,LEVEL4,56,1,0,0,56,1
54adf48cc5d1a55b,LEVEL4,56,1,0,0,56,1
fd71bcea33752,LEVEL4,56,1,0,0,56,1
271db9de004cf78b,LEVEL4,55,1,0,0,55,1
6aec268ed57e7c15,LEVEL8,55,2,54,1,1,1
a31b458cc9ae6e75,LEVEL4,55,2,54,1,1,1
d3188e446fbbb98f,LEVEL4,52,1,0,0,52,1
fd71bcea33752,LEVEL14,52,3,51,2,1,1
1b05c07a7e663e08,LEVEL1,51,1,0,0,51,1
8d5f94aa50520880,LEVEL6,51,3,50,2,1,1
2e035e79444f5880,LEVEL8,50,2,49,1,1,1
17ba3e47a36d1103,LEVEL8,49,2,48,1,1,1
2349496fc87d340d,LEVEL4,49,1,0,0,49,1
5fdb156d5fc8b9dd,LEVEL8,49,1,0,0,49,1
3a843e83d9cd7f82,LEVEL4,48,2,47,1,1,1
6aec268ed57e7c15,LEVEL1,48,1,0,0,48,1
854a92467d63a041,LEVEL4,48,1,48,1,0,0
8d5f94aa50520880,LEVEL8,48,1,0,0,48,1
b7a40cd5e214004e,LEVEL12,48,1,0,0,48,1
fd71bcea33752,LEVEL8,48,1,0,0,48,1
17ba3e47a36d1103,LEVEL1,47,1,0,0,47,1
9005c0bff7f591eb,LEVEL8,47,2,46,1,1,1
a2422e4949a4ba78,LEVEL11,47,3,46,2,1,1
a2422e4949a4ba78,LEVEL7,47,1,0,0,47,1
d4569452c610e06f,LEVEL8,47,2,46,1,1,1
271db9de004cf78b,LEVEL8,46,1,0,0,46,1
2e035e79444f5880,LEVEL7,45,1,0,0,45,1
6aec268ed57e7c15,LEVEL7,45,1,0,0,45,1
1290dfbcf881dde0,LEVEL12,44,3,43,2,1,1
17ba3e47a36d1103,LEVEL4,44,2,43,1,1,1
17ba3e47a36d1103,LEVEL7,44,1,0,0,44,1
1b05c07a7e663e08,LEVEL2,44,1,0,0,44,1
271db9de004cf78b,LEVEL10,44,2,44,2,0,0
a2422e4949a4ba78,LEVEL9,44,1,0,0,44,1
a31b458cc9ae6e75,LEVEL5,44,5,43,4,1,1
3a843e83d9cd7f82,LEVEL7,43,1,0,0,43,1
615ed898ec41b631,LEVEL9,43,2,42,1,1,1
d3188e446fbbb98f,LEVEL7,43,1,0,0,43,1
d3188e446fbbb98f,LEVEL9,43,3,43,3,0,0
66e414e2c47a1008,LEVEL1,42,1,0,0,42,1
a2422e4949a4ba78,LEVEL1,42,1,0,0,42,1
6aec268ed57e7c15,LEVEL9,41,1,0,0,41,1
854a92467d63a041,LEVEL2,41,1,0,0,41,1
91defa2d2ce8519c,LEVEL4,41,2,40,1,1,1
271db9de004cf78b,LEVEL7,40,1,0,0,40,1
342022859e496129,LEVEL1,40,2,39,1,1,1
5fdb156d5fc8b9dd,LEVEL6,40,1,0,0,40,1
5fdb156d5fc8b9dd,LEVEL7,40,1,0,0,40,1
6aec268ed57e7c15,LEVEL6,40,1,0,0,40,1
a2422e4949a4ba78,LEVEL14,40,3,39,2,1,1
d4569452c610e06f,LEVEL7,40,2,39,1,1,1
d4569452c610e06f,LEVEL9,40,2,39,1,1,1
fd71bcea33752,LEVEL9,40,2,39,1,1,1
1290dfbcf881dde0,LEVEL14,39,4,39,4,0,0
271db9de004cf78b,LEVEL2,39,1,0,0,39,1
3a843e83d9cd7f82,LEVEL1,39,1,0,0,39,1
6d0113052c269298,LEVEL2,39,1,0,0,39,1
8d5f94aa50520880,LEVEL1,39,1,0,0,39,1
8d5f94aa50520880,LEVEL7,39,1,0,0,39,1
a31b458cc9ae6e75,LEVEL2,39,2,38,1,1,1
afab39f0afa47f27,LEVEL1,39,1,0,0,39,1
